experiment,condition,input_size,obstacle_prob,n,time_mean,time_std,time_ci95,nodes_mean,nodes_std,nodes_ci95,path_len_mean,path_len_std,path_len_ci95,heur_evals_mean,heur_evals_std,heur_evals_ci95,tie_breaks_mean,tie_breaks_std,tie_breaks_ci95,time_improvement_pct,nodes_improvement_pct
exp5_obstacle_density,density_adaptive,60,0.1,30,0.0012526847000000026,0.0003280311301378859,0.00011738443236641611,261.26666666666665,68.42107627157672,24.48416769671304,118.0,0.0,0.0,493.6333333333333,115.50085335804572,41.33144955959466,490.3333333333333,115.32692162099323,41.26920888683952,10.680077518497935,6.657139454567105
exp5_obstacle_density,enhanced_combo,60,0.1,30,0.0009318235000000286,6.371389989995106e-05,2.279972626519517e-05,121.13333333333334,2.285385854893464,0.8178148250812072,118.13333333333334,0.507416263404925,0.18157657789441553,236.06666666666666,5.558053078460882,1.9889237506309168,42.03333333333333,4.246567241117622,1.5196145710160993,33.55837842799204,56.72263903775158
exp5_obstacle_density,baseline_astar,60,0.2,30,0.0017183556666667008,0.0006800250436173967,0.00024334383662435267,365.43333333333334,145.7408383193365,52.152689202179744,118.0,0.0,0.0,602.4,221.51182734827592,79.26698940065577,598.7666666666667,221.7413347579334,79.34911757244,0.0,0.0
exp5_obstacle_density,density_adaptive,60,0.2,30,0.0013277917000000508,0.00040758028403151375,0.0001458507314981695,272.43333333333334,100.42965743222477,35.93829136118863,120.86666666666666,4.74692883171144,1.6986666666666668,453.1333333333333,155.29676447843744,55.57223346143936,374.26666666666665,239.98921431703084,85.87903740972799,22.728936403734938,25.449238347167746
exp5_obstacle_density,enhanced_combo,60,0.2,30,0.0009383749333333006,5.254458865667942e-05,1.8802839568301014e-05,131.16666666666666,9.53426970724946,3.411794597492488,118.73333333333333,1.7005746155310282,0.608542810729386,239.53333333333333,12.648383659401002,4.52616596353933,27.066666666666666,3.7868495989486393,1.3551067255193934,45.391111308546606,64.1065401806075
exp5_obstacle_density,baseline_astar,60,0.3,30,0.0018799013999999984,0.0012627174300026574,0.00045185762917603864,430.8333333333333,291.13322976133173,104.18068829068228,120.4,3.5389458785116354,1.2663955184678297,612.4666666666667,361.74259598107386,129.4479254884837,605.0666666666667,360.06014184733976,128.84586700888792,0.0,0.0
exp5_obstacle_density,density_adaptive,60,0.3,30,0.0014197556333333564,0.0004779230641935908,0.0001710225721004019,271.1333333333333,107.53948219089145,38.482509476005866,128.66666666666666,7.188752389638986,2.5724620048279676,373.9,109.67203459594333,39.245633553447625,72.13333333333334,14.5073901104262,5.191402878485091,24.47712239943235,37.067698259187615
exp5_obstacle_density,enhanced_combo,60,0.3,30,0.001168977800000004,0.00020383604543244282,7.294179207578459e-05,183.03333333333333,38.20767510306809,13.672440942202226,126.26666666666667,6.469735022732214,2.315164944514,284.9,41.51555587138808,14.856150872908525,12.666666666666666,4.543531463621611,1.6258818532618793,37.81706849093229,57.51644100580271
exp5_obstacle_density,baseline_astar,60,0.4,30,0.0028501277666665103,0.001749374167489344,0.0006260055061264797,733.4666666666667,451.16246277376837,161.4464138677081,109.0,69.88414057172254,25.007718532623016,820.7,489.67921589828444,175.22945695943605,796.1666666666666,476.97654705109096,170.68386529092706,0.0,0.0
exp5_obstacle_density,density_adaptive,60,0.4,30,0.001779767966666649,0.0015595751887412842,0.0005580868138526658,387.76666666666665,376.68405157723845,134.79465670617805,115.0,73.6323579544417,26.34900089710921,449.1333333333333,377.9119340336548,135.23404880014954,69.9,51.70296463186747,18.501668278926857,37.554800613438694,47.132339574622804
